Created,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
13-11-2018 15:50,19,Live Chat-Direct,Sales-Agent-4,UK,Mode-2,Potential
13-11-2018 15:30,19,Live Chat-Direct,Sales-Agent-4,UK,Mode-4,Just Enquiry
13-11-2018 15:16,18,Call,Sales-Agent-7,Bangalore,Mode-1,Not Responding
13-11-2018 15:15,27,Live Chat-Direct,Sales-Agent-11,Hyderabad,Mode-3,Potential
13-11-2018 14:11,9,By Recommendation,Sales-Agent-7,Bangalore,Mode-4,Potential
13-11-2018 13:53,9,Call,Sales-Agent-4,Bangalore,Mode-1,Potential
13-11-2018 13:52,9,Website,Sales-Agent-11,Bangalore,Mode-1,Potential
13-11-2018 13:34,19,Website,Sales-Agent-7,Other Locations,Mode-1,Junk Lead
13-11-2018 13:15,18,Live Chat-Google Organic,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
13-11-2018 12:50,5,Live Chat-Direct,Sales-Agent-7,USA,Mode-3,In Progress Positive
13-11-2018 12:40,19,Live Chat-Direct,Sales-Agent-4,Delhi,Mode-4,In Progress Positive
13-11-2018 12:26,9,Call,Sales-Agent-4,Chennai,Mode-5,Potential
13-11-2018 12:15,9,Live Chat-Direct,Sales-Agent-11,UAE,Mode-3,Just Enquiry
13-11-2018 11:56,18,Call,Sales-Agent-9,Chennai,Mode-1,Not Responding
13-11-2018 11:29,2,Call,Sales-Agent-9,Other Locations,Mode-5,In Progress Positive
13-11-2018 11:29,9,Call,Sales-Agent-11,Bangalore,Mode-5,In Progress Positive
13-11-2018 11:28,15,Call,Sales-Agent-11,Other Locations,Mode-5,Not Responding
13-11-2018 11:27,15,Call,Sales-Agent-7,Other Locations,Mode-5,Not Responding
13-11-2018 11:25,19,Live Chat-Direct,Sales-Agent-4,Trivandrum,Mode-5,Not Responding
13-11-2018 11:20,15,Call,Sales-Agent-7,Other Locations,Mode-5,Not Responding
13-11-2018 11:15,3,Call,Sales-Agent-4,Other Locations,Mode-5,In Progress Positive
13-11-2018 11:10,18,Call,Sales-Agent-4,Bangalore,Mode-5,In Progress Positive
13-11-2018 11:09,15,Call,Sales-Agent-11,Other Locations,Mode-5,Potential
13-11-2018 11:09,9,Call,Sales-Agent-4,Mumbai,Mode-5,Just Enquiry
13-11-2018 11:08,15,Call,Sales-Agent-7,Other Locations,Mode-5,Not Responding
13-11-2018 11:08,9,Call,Sales-Agent-9,Bangalore,Mode-1,Potential
13-11-2018 11:07,19,Call,Sales-Agent-9,Bangalore,Mode-1,Potential
13-11-2018 11:00,9,Customer Referral,Sales-Agent-9,Chennai,Mode-1,Converted
13-11-2018 10:30,5,Live Chat-Direct,Sales-Agent-9,UAE,Mode-3,In Progress Positive
13-11-2018 10:18,27,Website,Sales-Agent-4,Hyderabad,Mode-1,Potential
13-11-2018 09:21,18,Website,Sales-Agent-11,Other Locations,Mode-3,In Progress Negative
13-11-2018 09:00,9,Website,Sales-Agent-9,Bangalore,Mode-1,Potential
12-11-2018 22:33,18,Website,Sales-Agent-4,Bangalore,Mode-1,Potential
12-11-2018 20:30,19,Website,Sales-Agent-9,Other Locations,Mode-1,In Progress Positive
12-11-2018 20:28,19,Website,Sales-Agent-7,Delhi,Mode-3,Just Enquiry
12-11-2018 19:43,19,Website,Sales-Agent-11,Chennai,Mode-1,In Progress Positive
12-11-2018 18:55,15,Website,Sales-Agent-9,Other Locations,Mode-3,Just Enquiry
12-11-2018 18:38,19,Call,Sales-Agent-11,Bangalore,Mode-5,In Progress Positive
12-11-2018 18:16,19,Call,Sales-Agent-4,Chennai,Mode-1,Potential
12-11-2018 17:55,27,Live Chat-Direct,Sales-Agent-4,Other Locations,Mode-3,Potential
12-11-2018 17:25,18,Live Chat-Blog,Sales-Agent-7,Other Locations,Mode-3,In Progress Positive
12-11-2018 17:23,18,Website,Sales-Agent-11,Chennai,Mode-1,Potential
12-11-2018 15:25,9,Live Chat-Direct,Sales-Agent-9,UAE,Mode-3,In Progress Positive
12-11-2018 15:21,19,Website,Sales-Agent-11,Other Locations,Mode-1,In Progress Positive
12-11-2018 15:19,9,Call,Sales-Agent-7,Hyderabad,Mode-1,In Progress Positive
12-11-2018 15:17,15,Call,Sales-Agent-9,Other Locations,Mode-5,Junk Lead
12-11-2018 15:16,15,Call,Sales-Agent-7,Other Locations,Mode-5,Not Responding
12-11-2018 15:15,15,Call,Sales-Agent-11,Other Locations,Mode-5,Junk Lead
12-11-2018 15:15,15,Call,Sales-Agent-4,Other Locations,Mode-5,Just Enquiry
12-11-2018 15:15,25,Live Chat-Direct,Sales-Agent-11,Bangalore,Mode-1,Not Responding
12-11-2018 15:08,10,Website,Sales-Agent-4,Bangalore,Mode-5,Potential
12-11-2018 14:31,18,Website,Sales-Agent-11,Other Locations,Mode-1,Not Responding
12-11-2018 14:30,9,Live Chat-Direct,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
12-11-2018 14:13,9,Call,Sales-Agent-4,Chennai,Mode-2,In Progress Positive
12-11-2018 13:45,18,Live Chat -PPC,Sales-Agent-9,Chennai,Mode-1,In Progress Positive
12-11-2018 13:41,19,Call,Sales-Agent-11,Bangalore,Mode-5,In Progress Positive
12-11-2018 13:35,18,Call,Sales-Agent-11,Delhi,Mode-5,In Progress Positive
12-11-2018 13:17,15,Call,Sales-Agent-9,Other Locations,Mode-5,Not Responding
12-11-2018 13:17,9,Call,Sales-Agent-11,Bangalore,Mode-5,Potential
12-11-2018 13:16,15,Call,Sales-Agent-7,Other Locations,Mode-5,Junk Lead
12-11-2018 13:16,15,Call,Sales-Agent-11,Other Locations,Mode-5,Junk Lead
12-11-2018 13:15,15,Call,Sales-Agent-4,Other Locations,Mode-5,Not Responding
12-11-2018 13:14,15,Call,Sales-Agent-9,Other Locations,Mode-5,Junk Lead
12-11-2018 13:13,15,Call,Sales-Agent-7,Other Locations,Mode-5,In Progress Positive
12-11-2018 13:11,9,Call,Sales-Agent-9,Bangalore,Mode-5,In Progress Positive
12-11-2018 13:11,15,Call,Sales-Agent-4,Other Locations,Mode-5,Just Enquiry
12-11-2018 13:05,19,Live Chat-Direct,Sales-Agent-11,Chennai,Mode-1,Potential
12-11-2018 13:01,27,Website,Sales-Agent-7,Other Locations,Mode-1,Junk Lead
12-11-2018 13:00,15,Call,Sales-Agent-3,Other Locations,Mode-5,Open
12-11-2018 12:10,18,Live Chat -PPC,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
12-11-2018 12:07,19,Customer Referral,Sales-Agent-9,Bangalore,Mode-1,Converted
12-11-2018 11:15,19,Website,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
12-11-2018 10:50,18,Live Chat -PPC,Sales-Agent-4,Mumbai,Mode-1,Potential
12-11-2018 09:10,27,Live Chat-Direct,Sales-Agent-9,Bangalore,Mode-1,Not Responding
12-11-2018 08:48,18,Website,Sales-Agent-7,Chennai,Mode-1,Potential
12-11-2018 07:10,18,Website,Sales-Agent-9,Other Locations,Mode-3,Junk Lead
11-11-2018 21:30,19,Website,Sales-Agent-9,Other Locations,Mode-3,Junk Lead
11-11-2018 20:30,5,Live Chat-Google Ads,Sales-Agent-9,Other Locations,Mode-3,Not Responding
11-11-2018 18:35,18,Website,Sales-Agent-9,Mumbai,Mode-3,In Progress Positive
11-11-2018 18:04,15,Website,Sales-Agent-9,Other Locations,Mode-1,Not Responding
11-11-2018 17:53,18,Website,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
11-11-2018 16:29,19,Call,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
11-11-2018 15:34,10,Website,Sales-Agent-9,Bangalore,Mode-3,In Progress Positive
11-11-2018 13:40,19,Live Chat-Direct,Sales-Agent-9,Kolkata,Mode-3,Potential
11-11-2018 13:35,19,Live Chat-Blog,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
11-11-2018 13:19,18,Live Chat-Direct,Sales-Agent-9,Other Locations,Mode-1,In Progress Positive
11-11-2018 13:17,18,Live Chat-Direct,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
11-11-2018 13:10,19,Live Chat-Direct,Sales-Agent-9,Other Locations,Mode-5,In Progress Positive
11-11-2018 13:03,18,Website,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
11-11-2018 12:35,5,Live Chat-Google Ads,Sales-Agent-5,Other Locations,Mode-5,Open
11-11-2018 11:55,19,Website,Sales-Agent-9,Bangalore,Mode-3,In Progress Positive
11-11-2018 11:55,20,Live Chat-Direct,Sales-Agent-11,Delhi,Mode-3,Not Responding
11-11-2018 11:30,18,Live Chat-Direct,Sales-Agent-9,Chennai,Mode-1,In Progress Positive
11-11-2018 10:20,18,Website,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
11-11-2018 10:08,18,Website,Sales-Agent-11,Other Locations,Mode-3,Potential
11-11-2018 09:53,5,Call,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
11-11-2018 09:52,19,Call,Sales-Agent-9,Delhi,Mode-1,Potential
10-11-2018 22:34,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 21:41,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 20:40,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 20:27,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 20:25,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 20:20,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 20:19,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 20:17,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 19:39,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 19:13,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 18:00,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
10-11-2018 17:55,20,Live Chat-Direct,Sales-Agent-3,Bangalore,Mode-3,Not Responding
10-11-2018 16:40,18,Live Chat-Direct,Sales-Agent-9,Singapore,Mode-3,Potential
10-11-2018 16:30,18,Call,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
10-11-2018 15:10,18,Live Chat -PPC,Sales-Agent-11,Bangalore,Mode-1,Potential
10-11-2018 15:05,19,Live Chat-Adwords Remarketing,Sales-Agent-4,Bangalore,Mode-1,In Progress Positive
10-11-2018 14:17,27,Live Chat-Direct,Sales-Agent-9,Hyderabad,Mode-3,Not Responding
10-11-2018 13:47,15,Website,Sales-Agent-3,Delhi,Mode-3,Not Responding
10-11-2018 13:26,18,Call,Sales-Agent-11,Other Locations,Mode-3,Not Responding
10-11-2018 13:16,27,Website,Sales-Agent-7,Delhi,Mode-3,In Progress Positive
10-11-2018 12:57,18,Call,Sales-Agent-3,Chennai,Mode-1,Just Enquiry
10-11-2018 12:18,18,Call,Sales-Agent-9,Chennai,Mode-1,In Progress Positive
10-11-2018 12:06,18,Call,Sales-Agent-3,Chennai,Mode-1,Potential
10-11-2018 11:40,5,Live Chat-Direct,Sales-Agent-3,Bangalore,Mode-1,Not Responding
10-11-2018 11:20,15,Website,Sales-Agent-7,Other Locations,Mode-1,Not Responding
10-11-2018 11:13,15,Call,Sales-Agent-11,Other Locations,Mode-5,Junk Lead
10-11-2018 11:11,15,Call,Sales-Agent-4,Other Locations,Mode-5,In Progress Negative
10-11-2018 11:10,15,Call,Sales-Agent-9,Other Locations,Mode-5,Just Enquiry
10-11-2018 11:10,15,Call,Sales-Agent-7,Other Locations,Mode-5,Just Enquiry
10-11-2018 10:52,18,Call,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
10-11-2018 10:48,15,Call,Sales-Agent-3,Other Locations,Mode-5,Not Responding
10-11-2018 00:11,15,Website,Sales-Agent-7,Pune,Mode-5,In Progress Positive
09-11-2018 22:15,18,Live Chat-Direct,Sales-Agent-9,Bangalore,Mode-1,Converted
09-11-2018 18:37,11,Call,Sales-Agent-7,Chennai,Mode-5,In Progress Positive
09-11-2018 18:17,19,Live Chat-Direct,Sales-Agent-9,Other Locations,Mode-4,In Progress Positive
09-11-2018 18:00,27,Live Chat-Direct,Sales-Agent-3,Bangalore,Mode-1,Not Responding
09-11-2018 16:30,19,Live Chat-Direct,Sales-Agent-3,Bangalore,Mode-1,Potential
09-11-2018 16:25,18,Live Chat-Direct,Sales-Agent-9,Hyderabad,Mode-3,In Progress Positive
09-11-2018 15:17,18,Call,Sales-Agent-11,Chennai,Mode-5,Potential
09-11-2018 14:53,18,Website,Sales-Agent-9,Other Locations,Mode-1,In Progress Positive
09-11-2018 14:45,19,Website,Sales-Agent-3,Other Locations,Mode-1,Junk Lead
09-11-2018 14:39,18,Live Chat -PPC,Sales-Agent-11,Chennai,Mode-1,Potential
09-11-2018 14:33,15,Call,Sales-Agent-9,Other Locations,Mode-5,Just Enquiry
09-11-2018 14:24,19,Call,Sales-Agent-9,Chennai,Mode-5,Potential
09-11-2018 14:17,15,Call,Sales-Agent-3,Other Locations,Mode-5,Not Responding
09-11-2018 14:15,15,Call,Sales-Agent-4,Other Locations,Mode-5,Junk Lead
09-11-2018 14:14,15,Call,Sales-Agent-7,Other Locations,Mode-5,Junk Lead
09-11-2018 13:35,19,Website,Sales-Agent-7,Other Locations,Mode-1,Junk Lead
09-11-2018 13:25,18,Live Chat-Direct,Sales-Agent-4,Bangalore,Mode-1,Not Responding
09-11-2018 13:04,25,Customer Referral,Sales-Agent-9,Bangalore,Mode-1,Potential
09-11-2018 13:01,19,E-Mail Message,Sales-Agent-3,Chennai,Mode-1,Potential
09-11-2018 12:50,9,Live Chat-Direct,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
09-11-2018 12:44,9,Live Chat-Direct,Sales-Agent-4,USA,Mode-3,Just Enquiry
09-11-2018 12:42,19,Call,Sales-Agent-9,Bangalore,Mode-1,Potential
09-11-2018 12:20,18,Live Chat -PPC,Sales-Agent-11,Trivandrum,Mode-5,Just Enquiry
09-11-2018 12:03,18,Call,Sales-Agent-9,Chennai,Mode-1,In Progress Positive
09-11-2018 11:21,15,Call,Sales-Agent-11,Other Locations,Mode-5,Junk Lead
09-11-2018 11:19,27,Call,Sales-Agent-4,Other Locations,Mode-5,In Progress Negative
09-11-2018 11:18,15,Call,Sales-Agent-9,Other Locations,Mode-5,Not Responding
09-11-2018 11:17,21,Call,Sales-Agent-4,Chennai,Mode-5,In Progress Positive
09-11-2018 11:17,15,Call,Sales-Agent-7,Other Locations,Mode-5,Just Enquiry
09-11-2018 11:16,27,Call,Sales-Agent-3,Chennai,Mode-5,Just Enquiry
09-11-2018 11:15,15,Call,Sales-Agent-7,Other Locations,Mode-5,Junk Lead
09-11-2018 10:55,9,Call,Sales-Agent-3,Bangalore,Mode-5,Potential
09-11-2018 10:53,18,Call,Sales-Agent-9,Chennai,Mode-5,Potential
09-11-2018 10:50,18,Live Chat-Direct,Sales-Agent-11,Other Locations,Mode-3,Just Enquiry
09-11-2018 10:49,9,Call,Sales-Agent-3,Bangalore,Mode-1,In Progress Positive
09-11-2018 10:40,18,Website,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
09-11-2018 10:34,9,Call,Sales-Agent-4,Bangalore,Mode-5,Converted
09-11-2018 10:30,3,Live Chat-Direct,Sales-Agent-7,USA,Mode-4,In Progress Positive
09-11-2018 10:13,18,Call,Sales-Agent-9,Delhi,Mode-1,In Progress Positive
09-11-2018 10:11,18,Call,Sales-Agent-9,Bangalore,Mode-1,Potential
09-11-2018 10:06,15,Call,Sales-Agent-9,Other Locations,Mode-5,Junk Lead
09-11-2018 10:04,18,Call,Sales-Agent-9,Bangalore,Mode-5,Potential
09-11-2018 10:04,15,Call,Sales-Agent-7,Other Locations,Mode-5,Not Responding
09-11-2018 10:03,15,Call,Sales-Agent-11,Other Locations,Mode-5,Not Responding
09-11-2018 09:55,15,Website,Sales-Agent-9,Other Locations,Mode-5,In Progress Positive
09-11-2018 09:05,18,Live Chat-Direct,Sales-Agent-7,Trivandrum,Mode-3,In Progress Positive
09-11-2018 06:59,5,Website,Sales-Agent-3,Other Locations,Mode-1,Not Responding
08-11-2018 20:32,15,Website,Sales-Agent-11,Chennai,Mode-1,Junk Lead
08-11-2018 20:11,18,Website,Sales-Agent-7,Bangalore,Mode-1,Converted
08-11-2018 19:45,18,Call,Sales-Agent-9,Chennai,Mode-1,In Progress Positive
08-11-2018 19:43,18,Call,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
08-11-2018 15:37,18,Website,Sales-Agent-7,Mumbai,Mode-3,Junk Lead
08-11-2018 14:51,19,Website,Sales-Agent-4,Bangalore,Mode-1,Just Enquiry
08-11-2018 14:46,15,Website,Sales-Agent-3,Other Locations,Mode-1,Not Responding
08-11-2018 13:27,18,Website,Sales-Agent-11,Chennai,Mode-5,Potential
08-11-2018 13:19,19,Website,Sales-Agent-11,Other Locations,Mode-1,Just Enquiry
08-11-2018 13:15,18,Website,Sales-Agent-4,Hyderabad,Mode-1,In Progress Positive
08-11-2018 13:08,19,Website,Sales-Agent-3,Other Locations,Mode-3,Junk Lead
08-11-2018 12:32,18,Website,Sales-Agent-4,Bangalore,Mode-1,In Progress Positive
08-11-2018 12:25,9,Website,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
08-11-2018 10:07,18,Website,Sales-Agent-7,Bangalore,Mode-1,Converted
08-11-2018 10:00,18,Website,Sales-Agent-9,Other Locations,Mode-1,Just Enquiry
08-11-2018 09:51,18,Website,Sales-Agent-7,Other Locations,Mode-5,Just Enquiry
07-11-2018 22:26,19,Website,Sales-Agent-4,Other Locations,Mode-3,In Progress Positive
07-11-2018 15:59,2,Website,Sales-Agent-7,Pune,Mode-3,In Progress Positive
07-11-2018 14:25,5,Call,Sales-Agent-3,Bangalore,Mode-1,Just Enquiry
07-11-2018 14:22,18,Live Chat-Direct,Sales-Agent-7,Chennai,Mode-1,In Progress Positive
07-11-2018 12:38,15,Call,Sales-Agent-7,Other Locations,Mode-5,Junk Lead
07-11-2018 12:37,19,Call,Sales-Agent-3,Delhi,Mode-5,In Progress Negative
07-11-2018 12:36,15,Call,Sales-Agent-7,Other Locations,Mode-5,Junk Lead
07-11-2018 12:36,15,Call,Sales-Agent-3,Other Locations,Mode-5,Junk Lead
07-11-2018 12:31,18,Live Chat-Direct,Sales-Agent-7,Chennai,Mode-1,Just Enquiry
07-11-2018 12:28,18,Live Chat -PPC,Sales-Agent-3,Bangalore,Mode-1,Just Enquiry
07-11-2018 12:27,20,Live Chat-Direct,Sales-Agent-7,Other Locations,Mode-5,In Progress Positive
07-11-2018 12:25,5,Live Chat-Direct,Sales-Agent-3,Bangalore,Mode-1,Just Enquiry
07-11-2018 12:22,18,Live Chat-Direct,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
07-11-2018 12:15,18,Live Chat-Direct,Sales-Agent-3,Bangalore,Mode-1,Converted
07-11-2018 12:14,5,Live Chat -PPC,Sales-Agent-7,Other Locations,Mode-3,Just Enquiry
07-11-2018 12:14,20,Existing Client,Sales-Agent-3,Bangalore,Mode-1,Converted
07-11-2018 11:41,18,Live Chat-Blog,Sales-Agent-3,Other Locations,Mode-1,In Progress Negative
07-11-2018 11:40,18,Live Chat-Blog,Sales-Agent-7,Other Locations,Mode-1,In Progress Positive
07-11-2018 11:38,5,Live Chat-Direct,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
07-11-2018 11:38,18,Live Chat-Direct,Sales-Agent-3,Kolkata,Mode-3,Junk Lead
07-11-2018 11:35,15,Live Chat-Direct,Sales-Agent-3,USA,Mode-3,Not Responding
07-11-2018 11:34,19,Live Chat-Direct,Sales-Agent-7,Mumbai,Mode-3,Just Enquiry
07-11-2018 11:04,19,Live Chat-Direct,Sales-Agent-3,Bangalore,Mode-1,Potential
07-11-2018 10:50,15,Call,Sales-Agent-3,Other Locations,Mode-5,In Progress Negative
07-11-2018 10:50,15,Call,Sales-Agent-3,Other Locations,Mode-5,Just Enquiry
07-11-2018 10:49,15,Call,Sales-Agent-3,Other Locations,Mode-5,Not Responding
07-11-2018 10:48,15,Call,Sales-Agent-3,Other Locations,Mode-5,Not Responding
07-11-2018 10:28,19,Live Chat-Direct,Sales-Agent-7,Chennai,Mode-1,In Progress Positive
07-11-2018 10:27,9,Call,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
07-11-2018 05:23,27,Website,Sales-Agent-7,Chennai,Mode-3,Potential
07-11-2018 02:07,9,Website,Sales-Agent-7,Delhi,Mode-3,Just Enquiry
06-11-2018 19:40,19,Website,Sales-Agent-3,Other Locations,Mode-1,In Progress Positive
06-11-2018 19:16,18,Website,Sales-Agent-3,Bangalore,Mode-1,Not Responding
06-11-2018 18:36,27,Website,Sales-Agent-7,Chennai,Mode-1,In Progress Positive
06-11-2018 08:52,18,Website,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
06-11-2018 08:11,27,Website,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
06-11-2018 05:27,19,Website,Sales-Agent-7,Other Locations,Mode-3,In Progress Positive
06-11-2018 04:04,5,Website,Sales-Agent-3,Other Locations,Mode-3,Not Responding
06-11-2018 00:46,18,Website,Sales-Agent-7,Kolkata,Mode-3,Just Enquiry
05-11-2018 23:32,18,By Recommendation,Sales-Agent-9,Bangalore,Mode-1,Potential
05-11-2018 20:14,5,Website,Sales-Agent-7,Other Locations,Mode-5,Just Enquiry
05-11-2018 18:26,25,Live Chat-Direct,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
05-11-2018 17:59,18,Call,Sales-Agent-9,Mumbai,Mode-1,Just Enquiry
05-11-2018 17:53,5,Live Chat-Direct,Sales-Agent-7,Other Locations,Mode-3,In Progress Positive
05-11-2018 17:11,5,Live Chat-Direct,Sales-Agent-3,Bangalore,Mode-1,Just Enquiry
05-11-2018 17:07,19,Live Chat-Direct,Sales-Agent-4,Other Locations,Mode-3,Not Responding
05-11-2018 17:04,9,Live Chat-Direct,Sales-Agent-9,Bangalore,Mode-1,In Progress Positive
05-11-2018 17:01,19,Live Chat-Direct,Sales-Agent-7,AUSTRALIA,Mode-3,In Progress Positive
05-11-2018 17:01,15,Website,Sales-Agent-7,Other Locations,Mode-5,Just Enquiry
05-11-2018 16:42,1,Website,Sales-Agent-3,Bangalore,Mode-1,In Progress Negative
05-11-2018 15:46,19,Call,Sales-Agent-9,Mumbai,Mode-1,Just Enquiry
05-11-2018 15:42,19,Call,Sales-Agent-3,Bangalore,Mode-1,Just Enquiry
05-11-2018 15:41,1,Live Chat-Direct,Sales-Agent-9,Chennai,Mode-3,Not Responding
05-11-2018 15:08,15,Call,Sales-Agent-3,Other Locations,Mode-5,Junk Lead
05-11-2018 15:06,19,Call,Sales-Agent-4,Other Locations,Mode-5,Just Enquiry
05-11-2018 14:59,15,Call,Sales-Agent-7,Other Locations,Mode-5,Junk Lead
05-11-2018 14:54,15,Call,Sales-Agent-9,Other Locations,Mode-5,Junk Lead
05-11-2018 14:54,15,Call,Sales-Agent-3,Other Locations,Mode-5,Junk Lead
05-11-2018 14:52,15,Call,Sales-Agent-4,Other Locations,Mode-5,In Progress Negative
05-11-2018 14:52,15,Call,Sales-Agent-3,Other Locations,Mode-5,Junk Lead
05-11-2018 14:51,15,Call,Sales-Agent-7,Other Locations,Mode-5,Junk Lead
05-11-2018 14:34,10,Website,Sales-Agent-4,Other Locations,Mode-4,In Progress Positive
05-11-2018 14:12,19,Call,Sales-Agent-7,Other Locations,Mode-1,In Progress Negative
05-11-2018 14:07,12,Website,Sales-Agent-7,Bangalore,Mode-4,In Progress Positive
05-11-2018 12:35,19,Live Chat-Direct,Sales-Agent-7,Mumbai,Mode-1,In Progress Positive
05-11-2018 12:06,15,Call,Sales-Agent-8,Other Locations,Mode-5,Open
05-11-2018 11:45,19,Call,Sales-Agent-9,Bangalore,Mode-1,Converted
05-11-2018 11:29,15,Call,Sales-Agent-3,Other Locations,Mode-5,Not Responding
05-11-2018 11:29,15,Call,Sales-Agent-7,Other Locations,Mode-5,Not Responding
05-11-2018 11:28,15,Call,Sales-Agent-4,Other Locations,Mode-5,Just Enquiry
05-11-2018 11:17,18,Call,Sales-Agent-3,Mumbai,Mode-1,Just Enquiry
05-11-2018 10:58,19,Live Chat-Direct,Sales-Agent-3,Bangalore,Mode-1,Potential
05-11-2018 10:55,18,Live Chat-Direct,Sales-Agent-4,Other Locations,Mode-3,In Progress Positive
05-11-2018 10:21,18,Live Chat-Direct,Sales-Agent-4,UAE,Mode-3,In Progress Positive
05-11-2018 10:20,27,Live Chat-Direct,Sales-Agent-4,Bangalore,Mode-1,Just Enquiry
05-11-2018 10:11,19,Website,Sales-Agent-7,Pune,Mode-3,In Progress Positive
05-11-2018 10:09,5,Call,Sales-Agent-9,Other Locations,Mode-5,Not Responding
05-11-2018 09:58,12,Live Chat-Direct,Sales-Agent-7,Other Locations,Mode-4,LOST
04-11-2018 21:53,27,Website,Sales-Agent-4,Other Locations,Mode-5,Just Enquiry
04-11-2018 16:47,9,Website,Sales-Agent-9,Chennai,Mode-1,Potential
04-11-2018 15:31,9,Call,Sales-Agent-4,Hyderabad,Mode-1,Potential
